"","Metro_Area"
"153","Indianapolis-Carmel-Anderson, IN M.S.A."
"154","Iowa City, IA M.S.A."
"155","Jackson, MI M.S.A."
"156","Jackson, MS M.S.A."
"157","Jackson, TN M.S.A."
"158","Jacksonville, FL M.S.A."
"159","Jacksonville, NC M.S.A."
"160","Janesville-Beloit, WI M.S.A."
"161","Jefferson City, MO M.S.A."
"162","Johnson City, TN M.S.A."
"163","Johnstown, PA M.S.A."
"164","Jonesboro, AR M.S.A."
"165","Joplin, MO M.S.A."
"166","Kahului-Wailuku-Lahaina, HI M.S.A."
"167","Kalamazoo-Portage, MI M.S.A."
"168","Kansas City, MO-KS M.S.A."
"169","Kennewick-Richland, WA M.S.A."
"170","Killeen-Temple, TX M.S.A."
"171","Kingsport-Bristol-Bristol, TN-VA M.S.A."
"172","Kingston, NY M.S.A."
"173","Knoxville, TN M.S.A."
"174","Kokomo, IN M.S.A."
"175","La Crosse-Onalaska, WI-MN M.S.A."
"176","Lafayette, LA M.S.A."
"177","Lafayette-West Lafayette, IN M.S.A."
"178","Lake Charles, LA M.S.A.2"
"179","Lake Havasu City-Kingman, AZ M.S.A."
"180","Lakeland-Winter Haven, FL M.S.A."
"181","Lancaster, PA M.S.A."
"182","Lansing-East Lansing, MI M.S.A."
"183","Laredo, TX M.S.A."
"184","Las Cruces, NM M.S.A."
"185","Las Vegas-Henderson-Paradise, NV M.S.A."
"186","Lawton, OK M.S.A."
"187","Lebanon, PA M.S.A."
"188","Lewiston, ID-WA M.S.A."
"189","Lewiston-Auburn, ME M.S.A."
"190","Lexington-Fayette, KY M.S.A."
"191","Lima, OH M.S.A."
"192","Lincoln, NE M.S.A."
"193","Little Rock-North Little Rock-Conway, AR M.S.A."
"194","Logan, UT-ID M.S.A."
"195","Longview, TX M.S.A."
"196","Longview, WA M.S.A."
"197","Los Angeles-Long Beach-Anaheim, CA M.S.A."
"198","Anaheim-Santa Ana-Irvine, CA M.D."
"199","Los Angeles-Long Beach-Glendale, CA M.D."
"200","Louisville/Jefferson County, KY-IN M.S.A."
"201","Lubbock, TX M.S.A."
"202","Lynchburg, VA M.S.A."
"203","Macon-Bibb County, GA M.S.A."
"204","Madera, CA M.S.A."
"205","Madison, WI M.S.A."
"206","Manchester-Nashua, NH M.S.A."
"207","Manhattan, KS M.S.A."
"208","Mankato-North Mankato, MN M.S.A."
"209","Mansfield, OH M.S.A."
"210","McAllen-Edinburg-Mission, TX M.S.A.2"
"211","Medford, OR M.S.A."
"212","Memphis, TN-MS-AR M.S.A."
"213","Merced, CA M.S.A."
"214","Miami-Fort Lauderdale-West Palm Beach, FL M.S.A."
"215","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D."
"216","Miami-Miami Beach-Kendall, FL M.D."
"217","West Palm Beach-Boca Raton-Delray Beach, FL M.D."
"218","Michigan City-La Porte, IN M.S.A."
"219","Midland, MI M.S.A."
"220","Midland, TX M.S.A."
"221","Milwaukee-Waukesha-West Allis, WI M.S.A."
"222","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A."
"223","Missoula, MT M.S.A."
"224","Mobile, AL M.S.A.5"
"225","Modesto, CA M.S.A."
"226","Monroe, LA M.S.A.2"
"227","Monroe, MI M.S.A."
"228","Montgomery, AL M.S.A."
"229","Morgantown, WV M.S.A."
"230","Morristown, TN M.S.A."
"231","Mount Vernon-Anacortes, WA M.S.A."
"232","Muskegon, MI M.S.A."
"233","Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A."
"234","Napa, CA M.S.A."
"235","Naples-Immokalee-Marco Island, FL M.S.A."
"236","Nashville-Davidson̐Murfreesboro̐Franklin, TN M.S.A."
"237","New Bern, NC M.S.A."
"238","New Orleans-Metairie, LA M.S.A."
"239","Niles-Benton Harbor, MI M.S.A."
"240","North Port-Sarasota-Bradenton, FL M.S.A."
"241","Norwich-New London, CT M.S.A."
"242","Ocala, FL M.S.A."
"243","Ocean City, NJ M.S.A.2"
"244","Odessa, TX M.S.A."
"245","Ogden-Clearfield, UT M.S.A.2, 3"
"246","Oklahoma City, OK M.S.A."
"247","Olympia-Tumwater, WA M.S.A."
"248","Omaha-Council Bluffs, NE-IA M.S.A.2"
"249","Orlando-Kissimmee-Sanford, FL M.S.A."
"250","Oshkosh-Neenah, WI M.S.A."
"251","Owensboro, KY M.S.A."
"252","Oxnard-Thousand Oaks-Ventura, CA M.S.A."
"253","Palm Bay-Melbourne-Titusville, FL M.S.A."
"254","Panama City, FL M.S.A."
"255","Parkersburg-Vienna, WV M.S.A."
"256","Pensacola-Ferry Pass-Brent, FL M.S.A."
"257","Peoria, IL M.S.A."
"258","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2"
"259","Camden, NJ M.D.2"
"260","Montgomery County-Bucks County-Chester County, PA M.D."
"261","Philadelphia, PA M.D."
"262","Wilmington, DE-MD-NJ M.D.2"
"263","Phoenix-Mesa-Scottsdale, AZ M.S.A."
"264","Pine Bluff, AR M.S.A"
"265","Pittsburgh, PA M.S.A."
"266","Pittsfield, MA M.S.A."
"267","Pocatello, ID M.S.A."
"268","Portland-South Portland, ME M.S.A."
"269","Port St. Lucie, FL M.S.A."
"270","Prescott, AZ M.S.A."
"271","Providence-Warwick, RI-MA M.S.A."
"272","Provo-Orem, UT M.S.A."
"273","Pueblo, CO M.S.A."
"274","Punta Gorda, FL M.S.A."
"275","Racine, WI M.S.A."
"276","Rapid City, SD M.S.A."
"277","Reading, PA M.S.A."
"278","Redding, CA M.S.A."
"279","Reno, NV M.S.A."
"280","Richmond, VA M.S.A."
"281","Riverside-San Bernardino-Ontario, CA M.S.A."
"282","Roanoke, VA M.S.A."
"283","Rochester, MN M.S.A."
"284","Rochester, NY M.S.A."
"285","Rockford, IL M.S.A."
"286","Rocky Mount, NC M.S.A."
"287","Rome, GA M.S.A."
"288","Sacramento̐Roseville̐Arden-Arcade, CA M.S.A."
"289","Saginaw, MI M.S.A."
"290","Salem, OR M.S.A."
"291","Salinas, CA M.S.A."
"292","Salisbury, MD-DE M.S.A."
"293","Salt Lake City, UT M.S.A."
"294","San Angelo, TX M.S.A."
"295","San Antonio-New Braunfels, TX M.S.A."
"296","San Diego-Carlsbad, CA M.S.A."
