,State,School,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson,Rape
340,NEW JERSEY,New Jersey Institute of Technology,"9,944",17,0,15,1,159,9,147,3,0.0,1.0
341,NEW JERSEY,Richard Stockton College of New Jersey,"8,400",0,0,0,0,39,1,36,2,0.0,0.0
342,NEW JERSEY,Rowan University,"12,183",4,0,1,3,106,21,84,1,0.0,0.0
343,NEW JERSEY,Rutgers University: Camden,"6,343",2,0,2,0,80,4,76,0,0.0,0.0
344,NEW JERSEY,Rutgers University: Newark,"12,011",27,0,26,1,135,16,113,6,0.0,0.0
345,NEW JERSEY,Rutgers University: New Brunswick,"40,434",36,0,8,18,775,94,675,6,0.0,10.0
346,NEW JERSEY,Stevens Institute of Technology,"5,649",0,0,0,0,37,7,30,0,0.0,0.0
347,NEW JERSEY,The College of New Jersey,"7,270",1,0,0,1,78,6,72,0,0.0,0.0
348,NEW JERSEY,University of Medicine and Dentistry Newark,"6,972",31,0,10,21,157,5,150,2,0.0,0.0
349,NEW JERSEY,William Paterson University,"11,423",4,0,1,3,64,0,63,1,0.0,0.0
350,NEW MEXICO,Eastern New Mexico University,"5,804",0,0,0,0,61,4,55,2,0.0,0.0
351,NEW MEXICO,New Mexico Institute of Mining and Technology,"2,105",0,0,0,0,35,6,29,0,0.0,0.0
352,NEW MEXICO,University of New Mexico,"29,033",37,0,0,31,512,26,443,43,0.0,6.0
353,NEW YORK,Cornell University,"21,424",3,0,2,0,259,16,243,0,0.0,1.0
354,NEW YORK,Ithaca College,"6,759",0,0,0,0,119,37,81,1,0.0,0.0
355,NEW YORK,Rensselaer Polytechnic Institute,"6,658",0,0,0,0,78,0,78,0,0.0,0.0
356,NEW YORK,State University of New York: Binghamton,"15,308",4,0,2,1,173,6,167,0,0.0,1.0
357,NEW YORK,State University of New York: Buffalo,"28,952",11,0,5,5,370,47,319,4,0.0,1.0
358,NEW YORK,State University of New York: Downstate Medical Center,"1,799",7,0,5,2,57,0,57,0,0.0,0.0
359,NEW YORK,State University of New York: Stony Brook,"23,946",13,0,3,8,286,28,257,1,2.0,2.0
360,NEW YORK,State University of New York: Upstate Medical Center,"1,635",3,0,1,2,116,2,114,0,0.0,0.0
361,NEW YORK,State University of New York College: Brockport,"8,271",5,0,1,4,102,9,90,3,0.0,0.0
362,NEW YORK,State University of New York College: Buffalo,"11,781",4,0,2,0,149,15,134,0,0.0,2.0
363,NEW YORK,State University of New York College: Cortland,"7,098",3,0,1,0,54,14,40,0,0.0,2.0
364,NEW YORK,State University of New York College: Geneseo,"5,557",6,0,0,1,89,9,80,0,0.0,5.0
365,NEW YORK,State University of New York College: New Paltz,"7,655",1,0,0,1,47,3,43,1,0.0,0.0
366,NEW YORK,State University of New York College: Oswego,"7,921",1,0,0,1,152,39,111,2,0.0,0.0
367,NEW YORK,State University of New York College: Plattsburgh,"6,167",0,0,0,0,97,12,85,0,0.0,0.0
368,NEW YORK,State University of New York College: Potsdam,"4,224",2,0,0,0,55,3,50,2,0.0,2.0
369,NEW YORK,State University of New York College: Purchase,"4,240",2,0,0,2,68,7,61,0,0.0,0.0
370,NEW YORK,State University of New York College: Technology,"3,151",1,0,0,1,62,3,59,0,0.0,0.0
371,NORTH CAROLINA,Appalachian State University,"17,589",0,0,0,0,79,20,59,0,1.0,0.0
372,NORTH CAROLINA,Duke University,"15,386",10,0,7,3,510,45,453,12,2.0,0.0
373,NORTH CAROLINA,East Carolina University,"26,947",3,0,1,1,227,2,224,1,0.0,1.0
374,NORTH CAROLINA,Elon University,"6,029",2,0,0,0,61,0,61,0,0.0,2.0
375,NORTH CAROLINA,Fayetteville State University,"6,060",5,0,3,0,81,23,54,4,0.0,2.0
376,NORTH CAROLINA,Methodist University,"2,359",2,0,0,0,51,6,45,0,2.0,2.0
377,NORTH CAROLINA,North Carolina Central University,"8,604",13,0,4,9,143,16,126,1,0.0,0.0
378,NORTH CAROLINA,North Carolina School of the Arts,880,1,0,0,0,16,4,12,0,0.0,1.0
379,NORTH CAROLINA,North Carolina State University Raleigh,"34,340",13,0,3,8,386,33,349,4,0.0,2.0
380,NORTH CAROLINA,University of North Carolina: Asheville,"3,751",3,0,1,1,31,3,27,1,0.0,1.0
381,NORTH CAROLINA,University of North Carolina: Chapel Hill,"29,278",9,0,1,5,299,30,261,8,1.0,3.0
382,NORTH CAROLINA,University of North Carolina: Greensboro,"18,516",6,0,1,2,184,0,177,7,0.0,3.0
383,NORTH CAROLINA,University of North Carolina: Wilmington,"13,733",9,0,0,2,266,6,260,0,2.0,7.0
384,NORTH CAROLINA,Western Carolina University,"9,608",5,0,2,2,95,10,84,1,1.0,1.0
385,NORTH CAROLINA,Winston-Salem State University,"5,689",2,0,0,1,95,7,85,3,0.0,1.0
386,NORTH DAKOTA,North Dakota State College of Science,"3,066",0,0,0,0,32,11,20,1,0.0,0.0
387,NORTH DAKOTA,North Dakota State University,"14,443",1,0,0,0,84,9,73,2,0.0,1.0
388,NORTH DAKOTA,University of North Dakota,"15,250",8,0,0,3,131,9,121,1,2.0,5.0
389,OHIO,Bowling Green State University,"17,286",4,0,2,1,62,13,49,0,2.0,1.0
390,OHIO,Capital University,"3,584",3,0,1,0,25,7,17,1,0.0,2.0
391,OHIO,Central State University,"2,152",1,0,0,1,97,17,80,0,1.0,0.0
392,OHIO,Columbus State Community College,"25,863",0,0,0,0,81,0,79,2,0.0,0.0
393,OHIO,Cuyahoga Community College,"29,701",2,0,2,0,135,6,125,4,0.0,0.0
394,OHIO,Kent State University,"28,602",1,0,0,0,174,7,167,0,1.0,1.0
395,OHIO,Lakeland Community College,"9,283",1,0,0,1,24,0,24,0,0.0,0.0
396,OHIO,Miami University,"17,683",8,0,0,0,183,32,150,1,3.0,8.0
397,OHIO,Notre Dame College,"2,129",0,0,0,0,16,2,14,0,0.0,0.0
398,OHIO,Ohio State University Columbus,"56,387",16,0,5,1,870,22,836,12,6.0,10.0
399,OHIO,Ohio University,"27,402",5,0,2,0,189,17,172,0,2.0,3.0
400,OHIO,Otterbein University,"2,984",1,0,0,0,29,3,26,0,0.0,1.0
401,OHIO,Shawnee State University,"4,652",0,0,0,0,62,7,55,0,0.0,0.0
402,OHIO,Sinclair Community College,"19,537",0,0,0,0,66,0,66,0,0.0,0.0
403,OHIO,University of Akron,"26,581",5,0,3,2,231,12,215,4,0.0,0.0
404,OHIO,University of Cincinnati,"33,347",7,0,4,3,349,11,338,0,0.0,0.0
405,OHIO,University of Toledo,"21,453",8,0,3,4,277,42,235,0,0.0,1.0
406,OHIO,Wright State University,"16,780",6,0,1,0,153,24,127,2,0.0,5.0
407,OHIO,Youngstown State University,"13,760",2,0,1,0,111,8,103,0,0.0,1.0
408,OKLAHOMA,Cameron University,"6,115",1,0,0,1,31,5,26,0,0.0,0.0
409,OKLAHOMA,East Central University,"4,819",0,0,0,0,21,0,19,2,0.0,0.0
410,OKLAHOMA,Mid-America Christian University,"2,606",0,0,0,0,2,0,1,1,0.0,0.0
411,OKLAHOMA,Northeastern Oklahoma A&M College,"2,526",4,0,0,4,59,16,42,1,0.0,0.0
412,OKLAHOMA,Northeastern State University: Broken Arrow5,0,0,0,0,0,8,0,8,0,0.0,0.0
413,OKLAHOMA,Northeastern State University: Tahlequah,"8,721",0,0,0,0,36,1,34,1,1.0,0.0
414,OKLAHOMA,Oklahoma City University,"3,299",1,0,1,0,50,4,44,2,0.0,0.0
415,OKLAHOMA,Oklahoma State University: Main Campus,"25,708",3,0,2,0,220,42,174,4,0.0,1.0
416,OKLAHOMA,Oklahoma State University: Okmulgee,"3,936",2,0,0,1,16,0,16,0,0.0,1.0
417,OKLAHOMA,Oklahoma State University: Tulsa,457,0,0,0,0,9,0,7,2,0.0,0.0
418,OKLAHOMA,Rogers State University,"4,774",0,0,0,0,12,1,11,0,0.0,0.0
419,OKLAHOMA,Seminole State College,"2,185",0,0,0,0,6,0,6,0,0.0,0.0
420,OKLAHOMA,Southeastern Oklahoma State University,"4,103",0,0,0,0,21,10,11,0,0.0,0.0
421,OKLAHOMA,Southwestern Oklahoma State University,"5,106",1,0,0,0,25,7,18,0,0.0,1.0
422,OKLAHOMA,Tulsa Community College,"19,557",1,0,0,1,43,0,42,1,0.0,0.0
423,OKLAHOMA,University of Central Oklahoma,"17,211",5,0,1,0,77,4,72,1,0.0,4.0
424,OKLAHOMA,University of Oklahoma: Health Sciences Center,"3,605",7,0,1,6,162,5,153,4,0.0,0.0
425,OKLAHOMA,University of Oklahoma: Norman,"27,507",2,0,0,0,296,5,285,6,0.0,2.0
426,OREGON,Portland State University,"28,287",6,0,3,1,305,25,280,0,0.0,2.0
427,PENNSYLVANIA,Bloomsburg University,"9,950",4,0,2,1,77,0,76,1,0.0,1.0
428,PENNSYLVANIA,California University,"8,608",4,0,1,2,33,0,33,0,0.0,1.0
429,PENNSYLVANIA,Cheyney University,"1,284",10,0,0,8,52,24,27,1,1.0,2.0
430,PENNSYLVANIA,Clarion University,"6,520",1,0,0,0,29,1,28,0,1.0,1.0
431,PENNSYLVANIA,Dickinson College,"2,386",4,0,0,2,83,10,72,1,0.0,2.0
432,PENNSYLVANIA,East Stroudsburg University,"6,943",7,0,1,4,65,5,60,0,0.0,2.0
433,PENNSYLVANIA,Edinboro University,"7,462",4,0,0,3,71,14,57,0,0.0,1.0
434,PENNSYLVANIA,Elizabethtown College,"1,910",3,0,0,1,34,1,33,0,0.0,2.0
435,PENNSYLVANIA,Indiana University,"15,596",3,0,0,3,50,3,47,0,0.0,0.0
436,PENNSYLVANIA,Kutztown University,"9,804",6,0,2,2,78,1,77,0,0.0,2.0
437,PENNSYLVANIA,Lehigh University,"7,080",6,0,2,3,43,1,42,0,0.0,1.0
438,PENNSYLVANIA,Lock Haven University,"5,328",7,0,2,1,45,1,43,1,0.0,4.0
439,PENNSYLVANIA,Mansfield University,"3,131",0,0,0,0,30,1,29,0,0.0,0.0
440,PENNSYLVANIA,Millersville University,"8,368",4,0,0,3,51,6,45,0,1.0,1.0
441,PENNSYLVANIA,Moravian College,"1,910",3,0,0,3,42,10,32,0,0.0,0.0
442,PENNSYLVANIA,Pennsylvania State University: Altoona,"3,863",2,0,0,1,47,14,33,0,0.0,1.0
443,PENNSYLVANIA,Pennsylvania State University: Beaver,759,0,0,0,0,9,0,8,1,0.0,0.0
444,PENNSYLVANIA,Pennsylvania State University: Behrend,"4,149",0,0,0,0,35,2,33,0,0.0,0.0
445,PENNSYLVANIA,Pennsylvania State University: Berks,"2,747",0,0,0,0,16,3,13,0,0.0,0.0
446,PENNSYLVANIA,Pennsylvania State University: Harrisburg,"4,376",0,0,0,0,11,0,11,0,0.0,0.0
447,PENNSYLVANIA,Pennsylvania State University: Hazleton,"1,060",0,0,0,0,16,6,10,0,0.0,0.0
448,PENNSYLVANIA,Pennsylvania State University: McKeesport,635,0,0,0,0,5,0,5,0,0.0,0.0
449,PENNSYLVANIA,Pennsylvania State University: Mont Alto,"1,107",2,0,0,1,7,1,6,0,0.0,1.0
450,PENNSYLVANIA,Pennsylvania State University: Schuylkill,867,0,0,0,0,14,2,12,0,0.0,0.0
451,PENNSYLVANIA,Pennsylvania State University: University Park,"45,783",29,0,0,20,498,40,453,5,9.0,9.0
452,PENNSYLVANIA,Shippensburg University,"7,724",7,0,1,2,57,16,41,0,0.0,4.0
453,PENNSYLVANIA,Slippery Rock University,"8,559",3,0,1,2,38,4,34,0,0.0,0.0
454,PENNSYLVANIA,University of Pittsburgh: Bradford,"1,518",1,0,0,1,23,6,17,0,0.0,0.0
455,PENNSYLVANIA,University of Pittsburgh: Johnstown,"2,932",5,0,0,4,45,6,39,0,0.0,1.0
456,PENNSYLVANIA,University of Pittsburgh: Pittsburgh,"28,769",15,0,1,14,291,15,273,3,0.0,0.0
457,PENNSYLVANIA,University of Pittsburgh: Titusville,388,0,0,0,0,6,0,6,0,0.0,0.0
458,PENNSYLVANIA,West Chester University,"15,411",2,0,1,1,77,11,66,0,0.0,0.0
459,RHODE ISLAND,Brown University,"8,885",3,0,0,1,167,59,108,0,0.0,2.0
460,RHODE ISLAND,University of Rhode Island,"16,451",3,0,2,0,181,19,160,2,1.0,1.0
461,SOUTH CAROLINA,Benedict College,"2,917",42,0,30,8,171,33,136,2,3.0,4.0
462,SOUTH CAROLINA,Bob Jones University,"3,469",0,0,0,0,11,3,8,0,0.0,0.0
463,SOUTH CAROLINA,Clemson University,"20,768",4,0,1,3,197,23,165,9,0.0,0.0
464,SOUTH CAROLINA,Coastal Carolina University,"9,335",8,1,3,2,175,26,145,4,0.0,2.0
465,SOUTH CAROLINA,College of Charleston,"11,723",1,0,0,1,73,2,69,2,0.0,0.0
466,SOUTH CAROLINA,Erskine College,751,0,0,0,0,6,0,6,0,0.0,0.0
467,SOUTH CAROLINA,Francis Marion University,"4,093",0,0,0,0,41,1,39,1,0.0,0.0
468,SOUTH CAROLINA,Greenville Technical College,"13,965",6,0,1,5,59,8,49,2,0.0,0.0
469,SOUTH CAROLINA,Lander University,"3,049",0,0,0,0,21,0,21,0,0.0,0.0
470,SOUTH CAROLINA,Medical University of South Carolina,"2,731",1,0,0,0,149,2,141,6,1.0,1.0
471,SOUTH CAROLINA,Midlands Technical College,"11,949",0,0,0,0,29,0,28,1,0.0,0.0
472,SOUTH CAROLINA,Presbyterian College,"1,403",1,0,0,1,30,6,24,0,0.0,0.0
473,SOUTH CAROLINA,South Carolina State University,"3,807",6,0,0,5,83,22,57,4,0.0,1.0
474,SOUTH CAROLINA,Spartanburg Methodist College,811,0,0,0,0,11,1,9,1,0.0,0.0
475,SOUTH CAROLINA,The Citadel,"3,499",5,0,5,0,24,6,18,0,1.0,0.0
476,SOUTH CAROLINA,Trident Technical College,"17,224",0,0,0,0,54,8,46,0,0.0,0.0
477,SOUTH CAROLINA,University of South Carolina: Aiken,"3,211",0,0,0,0,48,0,48,0,0.0,0.0
478,SOUTH CAROLINA,University of South Carolina: Columbia,"31,288",7,0,2,2,312,18,258,36,0.0,3.0
479,SOUTH CAROLINA,University of South Carolina: Upstate,"5,561",0,0,0,0,27,2,25,0,0.0,0.0
480,SOUTH CAROLINA,Winthrop University,"6,170",1,0,0,1,47,5,42,0,0.0,0.0
481,SOUTH DAKOTA,South Dakota State University,"12,583",0,0,0,0,49,0,49,0,0.0,0.0
482,TENNESSEE,Austin Peay State University,"10,597",1,0,1,0,123,15,108,0,0.0,0.0
483,TENNESSEE,Christian Brothers University,"1,603",1,0,0,0,19,1,18,0,0.0,1.0
484,TENNESSEE,Cleveland State Community College,"3,640",0,0,0,0,3,0,3,0,0.0,0.0
485,TENNESSEE,East Tennessee State University,"15,133",5,0,2,3,83,12,67,4,1.0,0.0
486,TENNESSEE,Middle Tennessee State University,"25,394",14,0,2,9,227,52,170,5,0.0,3.0
487,TENNESSEE,Northeast State Community College,"6,446",0,0,0,0,10,1,9,0,0.0,0.0
488,TENNESSEE,Roane State Community College,"6,508",0,0,0,0,12,0,11,1,0.0,0.0
489,TENNESSEE,Southwest Tennessee Community College,"12,220",3,0,3,0,37,2,35,0,0.0,0.0
490,TENNESSEE,Tennessee State University,"8,740",15,0,8,4,170,31,136,3,0.0,3.0
491,TENNESSEE,Tennessee Technological University,"11,469",5,0,1,4,105,29,73,3,0.0,0.0
492,TENNESSEE,University of Memphis,"22,139",4,0,2,0,174,18,155,1,0.0,2.0
493,TENNESSEE,University of Tennessee: Chattanooga,"11,660",4,0,3,1,148,23,124,1,0.0,0.0
494,TENNESSEE,University of Tennessee: Health Science Center5,0,1,0,0,1,37,3,34,0,0.0,0.0
495,TENNESSEE,University of Tennessee: Knoxville,"29,833",9,0,3,2,393,47,340,6,2.0,4.0
496,TENNESSEE,University of Tennessee: Martin,"7,743",1,0,0,1,35,5,30,0,0.0,0.0
497,TENNESSEE,Vanderbilt University,"12,710",32,0,5,14,361,18,338,5,0.0,13.0
498,TENNESSEE,Volunteer State Community College,"8,177",0,0,0,0,21,1,20,0,0.0,0.0
499,TENNESSEE,Walters State Community College,"6,554",0,0,0,0,11,0,11,0,0.0,0.0
500,TEXAS,Abilene Christian University,"4,367",2,0,0,2,60,1,59,0,0.0,0.0
501,TEXAS,Alamo Community College District,"58,007",12,0,1,10,227,27,189,11,0.0,1.0
502,TEXAS,Alvin Community College,"5,109",0,0,0,0,7,0,7,0,0.0,0.0
503,TEXAS,Amarillo College,"11,530",0,0,0,0,45,3,42,0,0.0,0.0
504,TEXAS,Angelo State University,"6,888",1,0,0,1,62,8,53,1,0.0,0.0
505,TEXAS,Austin College,"1,260",0,0,0,0,42,1,41,0,1.0,0.0
506,TEXAS,Baylor Health Care System5,0,5,0,3,1,567,10,549,8,0.0,1.0
507,TEXAS,Baylor University Waco,"15,364",10,0,0,7,132,7,120,5,0.0,3.0
508,TEXAS,Brookhave College,"12,790",0,0,0,0,20,2,18,0,0.0,0.0
509,TEXAS,Central Texas College,"22,443",2,0,0,1,21,4,17,0,0.0,1.0
510,TEXAS,College of the Mainland,"4,010",0,0,0,0,16,0,15,1,0.0,0.0
511,TEXAS,El Paso Community College,"32,127",1,0,0,1,76,1,75,0,0.0,0.0
512,TEXAS,Grayson College,"4,903",1,0,0,1,21,1,18,2,0.0,0.0
513,TEXAS,Hardin-Simmons University,"2,301",0,0,0,0,25,0,24,1,0.0,0.0
514,TEXAS,Houston Community College,"58,476",14,0,3,11,269,15,248,6,0.0,0.0
515,TEXAS,Lamar University Beaumont,"14,289",5,0,0,4,37,2,33,2,0.0,1.0
516,TEXAS,Laredo Community College,"9,356",0,0,0,0,17,3,12,2,0.0,0.0
517,TEXAS,McLennan Community College,"9,302",0,0,0,0,18,0,18,0,0.0,0.0
518,TEXAS,Midwestern State University,"5,916",1,0,0,1,61,23,38,0,0.0,0.0
519,TEXAS,Mountain View College,"9,068",1,0,0,1,44,2,39,3,0.0,0.0
520,TEXAS,North Lake College,"11,397",0,0,0,0,20,0,20,0,0.0,0.0
521,TEXAS,Paris Junior College,"5,513",1,0,1,0,18,5,13,0,0.0,0.0
522,TEXAS,Prairie View A&M University,"8,336",13,0,3,6,115,22,85,8,0.0,4.0
523,TEXAS,Rice University,"6,484",3,0,1,1,195,1,193,1,1.0,1.0
524,TEXAS,Richland College,"19,552",1,0,1,0,53,2,51,0,0.0,0.0
525,TEXAS,Southern Methodist University,"10,893",5,0,2,0,121,9,108,4,0.0,3.0
526,TEXAS,South Plains College,"9,444",2,0,0,2,15,1,14,0,0.0,0.0
527,TEXAS,Southwestern University,"1,394",0,0,0,0,14,3,11,0,0.0,0.0
528,TEXAS,Stephen F. Austin State University,"12,999",2,0,0,0,134,13,121,0,0.0,2.0
529,TEXAS,St. Mary's University,"3,941",1,0,0,0,59,5,52,2,0.0,1.0
530,TEXAS,Sul Ross State University,"2,680",0,0,0,0,53,9,44,0,1.0,0.0
531,TEXAS,Tarleton State University,"12,524",4,0,0,2,62,14,48,0,0.0,2.0
532,TEXAS,Texas A&M International University,"7,213",1,0,0,1,37,6,30,1,0.0,0.0
533,TEXAS,Texas A&M University: College Station,"50,627",7,0,1,4,394,16,370,8,0.0,2.0
534,TEXAS,Texas A&M University: Commerce,"11,871",3,0,0,1,67,12,54,1,0.0,2.0
535,TEXAS,Texas A&M University: Corpus Christi,"10,508",2,0,0,2,77,13,64,0,0.0,0.0
536,TEXAS,Texas A&M University: Galveston,"2,014",0,0,0,0,21,3,17,1,0.0,0.0
537,TEXAS,Texas A&M University: Kingsville,"11,350",4,0,0,2,128,22,105,1,2.0,2.0
538,TEXAS,Texas A&M University: San Antonio5,0,0,0,0,0,9,6,3,0,0.0,0.0
539,TEXAS,Texas Christian University,"9,727",14,0,3,3,160,24,135,1,1.0,8.0
540,TEXAS,Texas Southern University,"9,646",22,0,9,10,200,46,149,5,0.0,3.0
541,TEXAS,Texas State Technical College: Harlingen,"5,509",1,0,0,1,34,1,32,1,0.0,0.0
542,TEXAS,Texas State Technical College: Waco,"4,277",6,0,1,5,84,24,59,1,0.0,0.0
543,TEXAS,Texas State Technical College: West Texas,810,0,0,0,0,3,0,3,0,0.0,0.0
544,TEXAS,Texas State University San Marcos,"34,225",5,0,3,2,297,30,262,5,3.0,0.0
545,TEXAS,Texas Tech University Lubbock,"32,467",10,0,0,5,300,18,279,3,2.0,5.0
546,TEXAS,Texas Woman's University,"15,168",0,0,0,0,41,2,39,0,0.0,0.0
547,TEXAS,Trinity University,"2,458",3,0,0,0,60,9,51,0,0.0,3.0
548,TEXAS,Tyler Junior College,"11,374",0,0,0,0,66,1,65,0,0.0,0.0
549,TEXAS,University of Houston: Central Campus,"40,747",25,0,18,3,496,33,440,23,0.0,4.0
550,TEXAS,University of Houston: Clearlake,"8,153",0,0,0,0,12,1,11,0,0.0,0.0
551,TEXAS,University of Houston: Downtown Campus,"13,916",1,0,0,1,79,2,77,0,0.0,0.0
552,TEXAS,University of Mary Hardin-Baylor,"3,287",2,0,0,2,105,9,95,1,0.0,0.0
553,TEXAS,University of North Texas: Denton,"37,950",8,0,0,6,177,19,156,2,0.0,2.0
554,TEXAS,University of North Texas: Health Science Center,"1,949",0,0,0,0,17,1,16,0,0.0,0.0
555,TEXAS,University of Texas: Arlington,"33,239",17,0,6,1,265,18,243,4,0.0,10.0
556,TEXAS,University of Texas: Austin,"52,186",4,0,2,1,449,39,405,5,0.0,1.0
557,TEXAS,University of Texas: Brownsville,"13,636",1,0,1,0,71,6,63,2,0.0,0.0
558,TEXAS,University of Texas: Dallas,"19,727",3,0,1,1,135,15,118,2,0.0,1.0
559,TEXAS,University of Texas: El Paso,"22,749",5,0,1,3,171,24,144,3,2.0,1.0
560,TEXAS,"University of Texas: Health Science Center, San Antonio","3,249",2,0,1,1,115,3,111,1,0.0,0.0
561,TEXAS,"University of Texas: Health Science Center, Tyler5",0,4,0,0,4,12,2,10,0,0.0,0.0
562,TEXAS,University of Texas: Houston,"4,779",10,0,6,3,331,21,307,3,0.0,1.0
563,TEXAS,University of Texas: Medical Branch,"3,012",1,0,1,0,93,2,88,3,0.0,0.0
564,TEXAS,University of Texas: Pan American,"19,302",2,0,0,2,102,0,100,2,0.0,0.0
565,TEXAS,University of Texas: Permian Basin,"4,021",2,0,0,2,17,2,15,0,0.0,0.0
566,TEXAS,University of Texas: San Antonio,"30,474",3,0,2,0,179,12,163,4,0.0,1.0
567,TEXAS,University of Texas: Southwestern Medical School,"2,424",2,1,1,0,152,2,139,11,0.0,0.0
568,TEXAS,University of Texas: Tyler,"6,858",1,0,1,0,36,7,29,0,0.0,0.0
569,TEXAS,West Texas A&M University,"7,909",4,0,0,2,50,3,47,0,0.0,2.0
570,UTAH,Brigham Young University,"34,409",0,0,0,0,229,2,224,3,0.0,0.0
571,UTAH,Snow College,"4,599",0,0,0,0,28,3,25,0,0.0,0.0
572,UTAH,Southern Utah University,"8,297",0,0,0,0,26,1,25,0,1.0,0.0
573,UTAH,University of Utah,"32,388",15,0,1,12,693,150,513,30,1.0,2.0
574,UTAH,Utah State University Eastern5,0,0,0,0,0,4,1,3,0,0.0,0.0
575,UTAH,Utah Valley University,"31,562",1,0,1,0,95,2,90,3,0.0,0.0
576,UTAH,Weber State University,"26,532",0,0,0,0,62,6,54,2,0.0,0.0
577,VIRGINIA,Christopher Newport University,"5,186",6,0,1,1,128,1,127,0,4.0,4.0
578,VIRGINIA,College of William and Mary,"8,258",0,0,0,0,215,32,181,2,1.0,0.0
579,VIRGINIA,Eastern Virginia Medical School,993,0,0,0,0,18,0,18,0,0.0,0.0
580,VIRGINIA,Emory and Henry College,945,0,0,0,0,0,0,0,0,0.0,0.0
581,VIRGINIA,Ferrum College,"1,510",2,0,1,0,27,3,24,0,1.0,1.0
582,VIRGINIA,George Mason University,"32,961",4,0,1,2,188,7,179,2,2.0,1.0
583,VIRGINIA,Hampton University,"4,765",1,0,0,1,55,6,49,0,0.0,0.0
584,VIRGINIA,James Madison University,"19,927",2,0,0,2,121,6,115,0,1.0,0.0
585,VIRGINIA,J. Sargeant Reynolds Community College,"12,846",0,0,0,0,34,0,34,0,0.0,0.0
586,VIRGINIA,Longwood University,"4,834",2,1,0,1,61,10,43,8,0.0,0.0
587,VIRGINIA,Lord Fairfax Community College,"7,288",0,0,0,0,0,0,0,0,0.0,0.0
588,VIRGINIA,Norfolk State University,"7,100",12,0,5,5,137,26,110,1,1.0,2.0
589,VIRGINIA,Northern Virginia Community College,"51,864",4,0,0,2,112,0,111,1,0.0,2.0
590,VIRGINIA,Old Dominion University,"24,670",18,0,7,7,329,36,287,6,2.0,4.0
591,VIRGINIA,Radford University,"9,573",3,0,0,0,58,5,53,0,4.0,3.0
592,VIRGINIA,Richard Bland College,"1,532",0,0,0,0,11,1,10,0,0.0,0.0
593,VIRGINIA,University of Mary Washington,"5,093",3,0,2,0,16,2,14,0,0.0,1.0
594,VIRGINIA,University of Richmond,"4,361",3,0,0,0,83,8,72,3,1.0,3.0
595,VIRGINIA,University of Virginia,"23,907",11,0,0,6,304,60,222,22,0.0,5.0
596,VIRGINIA,University of Virginia's College at Wise,"2,420",1,0,0,0,3,0,3,0,0.0,1.0
597,VIRGINIA,Virginia Commonwealth University,"31,445",13,0,4,9,548,23,511,14,1.0,0.0
598,VIRGINIA,Virginia Military Institute,"1,664",1,0,0,1,22,6,16,0,0.0,0.0
599,VIRGINIA,Virginia Polytechnic Institute and State University,"31,087",5,0,1,0,212,68,142,2,1.0,4.0
600,VIRGINIA,Virginia State University,"6,208",8,1,3,4,126,1,124,1,0.0,0.0
601,VIRGINIA,Virginia Western Community College,"8,440",0,0,0,0,9,0,9,0,0.0,0.0
602,WASHINGTON,Central Washington University,"11,268",3,1,1,0,112,41,70,1,0.0,1.0
603,WASHINGTON,Eastern Washington University,"12,587",4,0,0,2,74,12,62,0,1.0,2.0
604,WASHINGTON,Evergreen State College,"4,509",4,0,1,0,109,16,93,0,0.0,3.0
605,WASHINGTON,University of Washington,"43,485",10,0,5,4,611,65,532,14,1.0,1.0
606,WASHINGTON,Washington State University: Pullman,"27,679",18,0,1,6,205,28,172,5,0.0,11.0
607,WASHINGTON,Washington State University: Vancouver5,0,0,0,0,0,10,1,8,1,0.0,0.0
608,WASHINGTON,Western Washington University,"14,833",1,0,0,0,148,7,138,3,0.0,1.0
609,WEST VIRGINIA,Fairmont State University,"4,451",2,0,2,0,32,5,25,2,0.0,0.0
610,WEST VIRGINIA,Marshall University,"13,708",11,0,1,10,61,3,58,0,0.0,0.0
611,WEST VIRGINIA,Potomac State College,"1,781",0,0,0,0,9,6,3,0,0.0,0.0
612,WEST VIRGINIA,Shepherd University,"4,326",4,0,1,0,15,3,12,0,0.0,3.0
613,WEST VIRGINIA,West Virginia State University,"2,644",1,0,1,0,22,8,13,1,0.0,0.0
614,WEST VIRGINIA,West Virginia Tech,"1,107",0,0,0,0,2,1,1,0,0.0,0.0
615,WEST VIRGINIA,West Virginia University,"29,707",18,0,1,13,109,1,107,1,1.0,4.0
616,WISCONSIN,University of Wisconsin: Eau Claire,"11,067",4,0,0,4,59,1,58,0,0.0,0.0
617,WISCONSIN,University of Wisconsin: Green Bay,"6,801",0,0,0,0,17,0,17,0,0.0,0.0
618,WISCONSIN,University of Wisconsin: La Crosse,"10,385",0,0,0,0,0,0,0,0,0.0,0.0
619,WISCONSIN,University of Wisconsin: Madison,"42,269",23,0,1,20,345,50,292,3,2.0,2.0
620,WISCONSIN,University of Wisconsin: Milwaukee,"28,712",6,0,1,0,336,13,323,0,0.0,5.0
621,WISCONSIN,University of Wisconsin: Oshkosh,"13,519",2,0,0,0,49,0,48,1,1.0,2.0
622,WISCONSIN,University of Wisconsin: Parkside,"4,731",2,0,0,1,34,4,30,0,0.0,1.0
