Table 9,,,,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement ,,,,,,, ,,, ,,,,,,,,
"by State by University and College, 2015",,,,,,,,,,,,,,,,,,
State,University/College ,Campus,"Studentenrollment1","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)2","Rape(legacydefinition)3",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson4,,,,
,Schoolcraft College,,"11,542",0,0,0,,0,0,43,0,43,0,0,,,,
,University of Michigan: ,Ann Arbor,"43,625",17,0,6,,5,6,681,18,656,7,4,,,,
,,Dearborn,"8,923",0,0,0,,0,0,43,1,41,1,0,,,,
,,Flint,"8,574",1,0,0,,1,0,78,5,72,1,0,,,,
,Western Michigan University,,"23,914",13,0,4,,4,5,133,2,131,0,1,,,,
MINNESOTA,University of Minnesota:,Duluth,"11,093",1,0,1,,0,0,49,10,39,0,0,,,,
,,Morris,"1,899",0,0,0,,0,0,9,2,7,0,0,,,,
,,Twin Cities,"51,147",15,0,2,,8,5,486,31,445,10,0,,,,
MISSISSIPPI,Coahoma Community College,,"2,045",2,0,,0,0,2,10,10,0,0,0,,,,
,Jackson State University,,"9,508",19,0,4,,12,3,221,37,183,1,0,,,,
,Mississippi State University,,"20,138",8,0,,3,1,4,193,12,176,5,0,,,,
,Northeast Mississippi Community College,,"3,538",0,0,,0,0,0,26,2,24,0,0,,,,
,University of Mississippi: ,Medical Center6,,2,0,,0,1,1,107,3,103,1,0,,,,
,,Oxford,"22,503",10,0,,8,1,1,178,10,168,0,0,,,,
MISSOURI,Jefferson College,,"4,882",0,0,0,,0,0,4,0,4,0,0,,,,
,Metropolitan Community College,,"18,222",0,0,0,,0,0,51,0,48,3,0,,,,
,Mineral Area College,,"4,632",0,0,0,,0,0,3,0,3,0,0,,,,
,Missouri Southern State University,,"5,613",1,0,0,,1,0,43,4,38,1,0,,,,
,Missouri University of Science and Technology,,"8,640",1,0,0,,1,0,58,5,52,1,0,,,,
,Missouri Western State University,,"5,834",2,0,2,,0,0,14,2,12,0,0,,,,
,Northwest Missouri State University,,"6,720",2,0,2,,0,0,59,3,56,0,0,,,,
,Southeast Missouri State University,,"12,087",2,0,2,,0,0,26,5,19,2,0,,,,
,St. Charles Community College,,"7,153",0,0,0,,0,0,10,0,10,0,0,,,,
,St. Louis Community College: ,Florissant Valley6,,0,0,0,,0,0,20,0,19,1,0,,,,
,,Meramec,"21,218",1,0,0,,0,1,16,0,16,0,0,,,,
,Truman State University,,"6,248",0,0,0,,0,0,39,1,38,0,0,,,,
,University of Central Missouri,,"13,379",12,0,3,,3,6,140,10,122,8,1,,,,
,University of Missouri: ,Columbia,"35,425",10,0,3,,2,5,271,7,255,9,0,,,,
,,Kansas City,"16,146",6,0,0,,3,3,66,20,44,2,0,,,,
,,St. Louis,"17,072",2,0,1,,0,1,61,5,54,2,0,,,,
,Washington University,,"14,348",0,0,0,,0,0,73,1,72,0,0,,,,
MONTANA,Montana State University,,"14,982",7,0,2,,0,5,165,5,155,5,4,,,,
,University of Montana,,"13,952",2,0,0,,0,2,100,6,92,2,0,,,,
NEBRASKA,Metropolitan Community College,Douglas County,"14,675",2,0,,0,0,2,26,0,26,0,0,,,,
,University of Nebraska,Kearney7,"6,902",2,0,2,,0,0,31,3,28,0,1,,,,
NEVADA,Truckee Meadows Community College,,"11,106",0,0,0,,0,0,15,1,14,0,0,,,,
,University of Nevada:,Las Vegas,"28,515",17,0,6,,6,5,293,23,246,24,0,,,,
,,Reno,"19,934",4,0,1,,1,2,162,10,144,8,0,,,,
NEW HAMPSHIRE,University of New Hampshire,,"15,117",27,0,25,,0,2,125,9,113,3,2,,,,
NEW JERSEY7,Brookdale Community College,,"14,144",0,0,0,,0,0,27,0,26,1,0,,,,
,Essex County College,,"11,468",3,0,0,,1,2,86,2,82,2,0,,,,
,Kean University,,"14,359",3,0,1,,0,2,104,3,97,4,0,,,,
,Middlesex County College,,"12,059",1,0,0,,0,1,29,0,29,0,0,,,,
,Monmouth University,,"6,395",1,0,1,,0,0,30,1,29,0,0,,,,
,Montclair State University,,"20,022",2,0,1,,0,1,117,10,107,0,0,,,,
,New Jersey Institute of Technology,,"10,646",15,0,1,,10,4,104,2,91,11,0,,,,
,Princeton University,,"8,088",1,0,0,,0,1,382,18,354,10,1,,,,
,Rowan University,,"14,778",8,0,4,,0,4,137,17,120,0,0,,,,
,Rutgers University: ,Camden,"6,321",2,0,0,,2,0,65,2,63,0,0,,,,
,,Newark,"11,314",29,0,2,,24,3,256,0,253,3,0,,,,
,,New Brunswick,"48,378",33,0,10,,7,16,527,55,469,3,1,,,,
,Stevens Institute of Technology,,"6,125",1,0,0,,0,1,34,2,32,0,0,,,,
,Stockton University,,"8,570",1,0,1,,0,0,31,1,29,1,0,,,,
,The College of New Jersey,,"7,409",3,0,3,,0,0,84,3,76,5,1,,,,
,William Paterson University,,"11,048",0,0,0,,0,0,59,1,57,1,0,,,,
NEW MEXICO,Eastern New Mexico University,,"5,879",6,0,,3,0,3,40,5,35,0,,,,,
,New Mexico Institute of Mining and Technology,,"2,127",1,0,,0,0,1,59,6,49,4,,,,,
,New Mexico State University,,"15,829",13,0,,1,2,10,259,47,199,13,2,,,,
,University of New Mexico,,"27,844",38,0,,8,5,25,613,49,502,62,,,,,
,Western New Mexico University,,"3,557",4,0,,0,0,4,28,12,16,0,,,,,
NEW YORK,Cornell University,,"21,679",3,0,2,,0,1,272,21,250,1,0,,,,
,Ithaca College5,,"6,587",5,0,4,,1,0,108,13,95,0,0,,,,
,Rensselaer Polytechnic Institute,,"6,835",0,0,,0,0,0,40,0,40,0,0,,,,
,State University of New York: ,Binghamton,"16,695",8,0,7,,1,0,225,12,213,0,0,,,,
,,Buffalo,"29,995",10,0,4,,1,5,304,38,265,1,1,,,,
,,Downstate Medical Center,"1,865",4,0,0,,0,4,57,0,57,0,0,,,,
,,Maritime College5,"1,799",0,0,0,,0,0,18,3,15,0,0,,,,
,,Stony Brook5,"24,607",10,0,1,,1,8,279,19,259,1,0,,,,
,,Upstate Medical Center,"1,516",0,0,0,,0,0,84,5,78,1,0,,,,
,State University of New York Agricultural and Technical College:,Alfred,"3,661",3,0,2,,0,1,52,7,44,1,0,,,,
,,Canton,"3,278",1,0,1,,0,0,31,1,29,1,0,,,,
,,Cobleskill,"2,535",5,0,3,,0,2,18,4,13,1,0,,,,
,,Farmingdale,"8,394",2,0,1,,0,1,31,2,29,0,0,,,,
,,Morrisville,"2,910",4,0,3,,1,0,42,11,31,0,0,,,,
,State University of New York College:,Brockport,"8,106",5,0,4,,0,1,43,2,41,0,0,,,,
,,Buffalo,"11,083",14,0,3,,3,8,160,12,146,2,1,,,,
,,Cortland,"6,958",3,0,2,,0,1,44,6,36,2,0,,,,
,,Environmental Science and Forestry,"2,200",0,0,0,,0,0,25,0,25,0,0,,,,
,,Fredonia,"5,215",1,0,1,,0,0,34,8,26,0,0,,,,
,,Geneseo,"5,658",2,0,2,,0,0,84,10,71,3,0,,,,
,,New Paltz,"7,692",1,0,1,,0,0,35,0,35,0,0,,,,
,,Old Westbury,"4,504",1,0,0,,1,0,38,3,35,0,0,,,,
,,Oneonta,"6,101",3,0,3,,0,0,40,3,36,1,0,,,,
,,Optometry,363,0,0,0,,0,0,5,0,5,0,0,,,,
,,Oswego,"8,034",4,0,4,,0,0,76,6,70,0,0,,,,
,,Plattsburgh,"5,968",0,0,0,,0,0,70,2,68,0,0,,,,
,,Potsdam,"3,979",2,0,2,,0,0,58,7,50,1,0,,,,
,,Purchase,"4,225",1,0,1,,0,0,72,11,61,0,0,,,,
,,Technology,"3,598",1,0,,0,0,1,38,5,33,0,0,,,,
,,Utica-Rome,"2,740",1,0,1,,0,0,12,0,12,0,0,,,,
NORTH CAROLINA,Appalachian State University,,"18,026",3,0,,2,0,1,58,8,47,3,0,,,,
,Davidson College,,"1,770",3,0,,3,0,0,72,13,59,0,2,,,,
,Duke University,,"15,856",6,0,,2,4,0,371,17,345,9,1,,,,
,East Carolina University,,"27,511",11,0,,5,3,3,169,6,163,0,0,,,,
,Elizabeth City State University,,"1,867",1,0,,0,0,1,64,17,46,1,1,,,,
,Elon University,,"6,483",0,0,,0,0,0,10,0,10,0,0,,,,
,Fayetteville State University,,"5,899",7,0,,4,1,2,60,8,48,4,0,,,,
,Methodist University,,"2,461",2,0,,1,0,1,38,4,34,0,1,,,,
,North Carolina Agricultural and Technical State University,,"10,725",5,0,,3,0,2,115,16,97,2,0,,,,
,North Carolina Central University,,"7,687",15,0,,4,5,6,132,16,114,2,3,,,,
,North Carolina School of the Arts,,958,0,0,,0,0,0,19,8,11,0,0,,,,
,North Carolina State University,Raleigh,"33,989",14,0,,5,1,8,249,17,226,6,0,,,,
,University of North Carolina:,Asheville,"3,845",3,0,,2,1,0,20,0,19,1,0,,,,
,,Chapel Hill,"29,135",6,0,,2,4,0,260,20,219,21,0,,,,
,,Charlotte,"27,238",1,0,,0,0,1,133,10,122,1,1,,,,
,,Greensboro,"18,647",8,0,,4,0,4,116,4,111,1,1,,,,
,,Wilmington,"14,570",6,0,,4,1,1,231,6,224,1,0,,,,
,Wake Forest University,,"7,788",4,0,,3,1,0,138,23,109,6,0,,,,
,Western Carolina University,,"10,382",3,0,,3,0,0,73,16,56,1,0,,,,
,Winston-Salem State University,,"5,220",2,1,,0,1,0,68,12,54,2,0,,,,
NORTH DAKOTA,North Dakota State College of Science,,"3,033",0,0,0,,0,0,26,3,23,0,0,,,,
,North Dakota State University,,"14,747",1,0,1,,0,0,151,9,139,3,0,,,,
,University of North Dakota,,"14,906",3,0,2,,0,1,128,7,118,3,0,,,,
OHIO,Bowling Green State University,,"16,554",13,0,11,,0,2,16,6,10,0,2,,,,
,Capital University,,"3,494",2,0,2,,0,0,56,20,35,1,0,,,,
,Columbus State Community College,,"24,448",0,0,0,,0,0,68,0,67,1,0,,,,
,Cuyahoga Community College,,"27,084",4,0,1,,2,1,74,2,70,2,0,,,,
,Kent State University,,"29,477",6,0,,2,3,1,167,5,162,0,1,,,,
,Lakeland Community College,,"8,250",0,0,0,,0,0,32,0,32,0,0,,,,
,Miami University,,"18,620",17,0,7,,1,9,192,7,181,4,0,,,,
,Notre Dame College,,"2,281",2,0,1,,0,1,36,5,31,0,0,,,,
,Ohio State University,Columbus,"58,322",22,0,13,,4,5,793,17,771,5,0,,,,
,Ohio University,,"29,217",10,0,10,,0,0,174,15,157,2,2,,,,
,Otterbein University,,"2,791",0,0,0,,0,0,31,4,27,0,0,,,,
,Shawnee State University,,"4,247",1,0,,1,0,0,40,0,39,1,0,,,,
,Sinclair Community College,,"19,093",1,0,0,,1,0,56,0,56,0,0,,,,
,University of Akron,,"23,962",9,0,2,,3,4,192,7,177,8,1,,,,
,University of Cincinnati,,"35,313",5,0,,2,3,0,297,3,293,1,0,,,,
,University of Toledo,,"20,626",3,0,2,,0,1,215,20,193,2,2,,,,
,Wright State University,,"16,842",8,0,4,,3,1,105,15,86,4,0,,,,
OKLAHOMA,Cameron University,,"5,537",3,0,2,,0,1,8,0,8,0,0,,,,
,East Central University,,"4,428",0,0,0,,0,0,12,3,9,0,0,,,,
,Langston University,,"2,482",10,0,2,,3,5,118,66,46,6,1,,,,
,Northeastern Oklahoma A&M College,,"2,274",2,0,1,,1,0,50,17,31,2,2,,,,
,Northeastern State University:,Broken Arrow6,,0,0,0,,0,0,0,0,0,0,0,,,,
,,Tahlequah,"8,310",0,0,0,,0,0,0,0,0,0,0,,,,
,Oklahoma City University,,"3,035",1,0,0,,0,1,41,5,36,0,0,,,,
,Oklahoma State University:,Main Campus,"25,962",4,0,2,,2,0,229,48,176,5,0,,,,
,,Okmulgee,"3,379",1,0,1,,0,0,11,0,10,1,0,,,,
,,Tulsa,664,0,0,0,,0,0,2,0,2,0,0,,,,
,Rogers State University,,"4,030",0,0,0,,0,0,4,0,4,0,0,,,,
,Seminole State College,,"1,895",0,0,0,,0,0,6,2,4,0,0,,,,
,Southeastern Oklahoma State University,,"3,878",2,0,2,,0,0,17,3,14,0,0,,,,
,Southwestern Oklahoma State University,,"4,994",0,0,0,,0,0,10,0,10,0,0,,,,
,Tulsa Community College,,"17,861",0,0,0,,0,0,5,0,5,0,0,,,,
,University of Central Oklahoma,,"16,840",5,0,1,,0,4,79,10,69,0,0,,,,
,University of Oklahoma: ,Health Sciences Center,"3,499",6,0,0,,3,3,154,5,146,3,0,,,,
,,Norman,"27,261",7,0,4,,0,3,299,6,283,10,1,,,,
OREGON,University of Oregon,,"24,096",8,0,3,,3,2,314,11,297,6,8,,,,
PENNSYLVANIA,Bloomsburg University,,"9,998",4,0,3,,0,1,35,1,34,0,0,,,,
,California University,,"7,978",1,0,1,,0,0,29,1,28,0,0,,,,
,Cheyney University,,"1,022",8,0,5,,0,3,40,17,23,0,1,,,,
,Clarion University,,"5,712",4,0,3,,0,1,32,0,32,0,0,,,,
,Dickinson College,,"2,364",6,0,2,,0,4,105,10,94,1,0,,,,
,East Stroudsburg University,,"6,819",1,0,0,,0,1,53,0,53,0,0,,,,
,Edinboro University,,"6,837",4,0,3,,0,1,44,6,38,0,0,,,,
,Elizabethtown College,,"1,822",3,0,2,,0,1,18,1,17,0,0,,,,
,Indiana University,,"14,534",10,0,4,,3,3,57,3,54,0,1,,,,
,Kutztown University,,"9,218",6,0,3,,0,3,54,1,53,0,0,,,,
,Lehigh University,,"7,119",3,0,3,,0,0,26,0,26,0,0,,,,
,Lock Haven University,,"4,917",2,0,2,,0,0,25,8,17,0,0,,,,
,Mansfield University,,"2,752",0,0,0,,0,0,11,0,11,0,0,,,,
,Millersville University,,"8,047",2,1,0,,0,1,33,1,32,0,0,,,,
,Moravian College,,"1,970",4,0,0,,0,4,28,10,18,0,0,,,,
,Pennsylvania State University:,Altoona,"3,903",2,0,2,,0,0,40,6,34,0,1,,,,
,,Beaver,720,0,0,0,,0,0,4,0,4,0,1,,,,
,,Behrend,"4,138",3,0,1,,0,2,31,6,25,0,0,,,,
,,Berks,"2,839",1,0,1,,0,0,29,1,28,0,0,,,,
,,Brandywine,"1,488",0,0,0,,0,0,4,0,4,0,0,,,,
,,Harrisburg,"4,519",1,0,0,,0,1,14,0,14,0,0,,,,
,,Hazleton,850,1,0,1,,0,0,6,0,6,0,0,,,,
,,McKeesport,604,0,0,0,,0,0,6,0,6,0,0,,,,
,,Mont Alto,940,0,0,0,,0,0,3,0,3,0,0,,,,
,,Schuylkill,796,0,0,0,,0,0,11,5,6,0,0,,,,
,,University Park,"47,040",39,0,24,,2,13,428,38,388,2,6,,,,
,Shippensburg University,,"7,355",2,0,1,,0,1,36,5,30,1,1,,,,
,Slippery Rock University,,"8,495",1,0,0,,0,1,39,1,36,2,0,,,,
,University of Pittsburgh: ,Bradford,"1,499",2,0,2,,0,0,17,4,13,0,0,,,,
,,Greensburg,"1,578",0,0,0,,0,0,3,0,3,0,0,,,,
,,Johnstown,"2,869",5,0,2,,1,2,33,1,31,1,0,,,,
,,Pittsburgh,"28,617",27,0,8,,2,17,221,10,210,1,0,,,,
,,Titusville,371,2,0,1,,0,1,7,0,7,0,0,,,,
,West Chester University,,"16,086",8,0,5,,1,2,67,6,61,0,0,,,,
RHODE ISLAND,Brown University,,"9,181",0,0,0,,0,0,117,10,107,0,0,,,,
,University of Rhode Island,,"16,571",4,0,4,,0,0,93,13,79,1,0,,,,
SOUTH CAROLINA,Bob Jones University,,"3,108",0,0,0,,0,0,13,1,12,0,0,,,,
,Clemson University,,"21,857",7,0,3,,0,4,244,13,179,52,1,,,,
,Coastal Carolina University,,"9,976",14,0,5,,4,5,184,7,174,3,0,,,,
,College of Charleston,,"11,456",0,0,0,,0,0,93,2,90,1,0,,,,
,Columbia College,,"1,221",0,0,0,,0,0,9,2,6,1,0,,,,
,Erskine College,,753,1,0,1,,0,0,8,6,2,0,0,,,,
,Francis Marion University,,"3,944",0,0,0,,0,0,17,0,17,0,0,,,,
,Greenville Technical College,,"12,592",2,0,0,,0,2,32,4,28,0,0,,,,
,Lander University,,"2,787",1,0,1,,0,0,19,1,16,2,0,,,,
,Medical University of South Carolina,,"2,898",4,0,3,,0,1,110,6,102,2,0,,,,
,Midlands Technical College,,"11,424",1,0,0,,0,1,16,0,15,1,0,,,,
,Orangeburg-Calhoun Technical College,,"3,060",0,0,0,,0,0,0,0,0,0,0,,,,
,Presbyterian College,,"1,460",2,0,0,,0,2,21,2,18,1,1,,,,
,South Carolina State University,,"3,331",5,0,0,,5,0,91,28,59,4,0,,,,
,Spartanburg Methodist College,,793,1,0,0,,0,1,5,1,4,0,0,,,,
,The Citadel,,"3,592",1,0,0,,1,0,12,4,8,0,0,,,,
,Trident Technical College,,"16,136",0,0,0,,0,0,25,1,22,2,0,,,,
,University of South Carolina:,Aiken,"3,444",1,0,0,,1,0,23,0,23,0,0,,,,
,,Beaufort,"1,794",2,0,1,,0,1,8,2,6,0,0,,,,
,,Columbia,"32,971",7,1,2,,2,2,285,12,232,41,0,,,,
,,Upstate,"5,585",4,0,0,,0,4,26,1,25,0,0,,,,
,Winthrop University,,"6,024",2,0,1,,1,0,35,7,28,0,0,,,,
SOUTH DAKOTA,South Dakota State University,,"12,543",0,0,0,,0,0,31,0,31,0,0,,,,
TENNESSEE,Austin Peay State University,,"10,111",6,0,4,,0,2,64,10,52,2,0,,,,
,Chattanooga State Community College,,"9,332",2,0,0,,0,2,15,0,15,0,0,,,,
,Christian Brothers University,,"1,667",2,0,0,,0,2,22,5,17,0,0,,,,
,Cleveland State Community College,,"3,522",0,0,0,,0,0,10,1,9,0,0,,,,
,East Tennessee State University,,"14,434",7,0,4,,1,2,72,7,65,0,2,,,,
,Jackson State Community College,,"4,924",0,0,0,,0,0,0,0,0,0,0,,,,
,Lincoln Memorial University,,"3,735",0,0,0,,0,0,0,0,0,0,0,,,,
,Middle Tennessee State University,,"22,729",8,0,3,,3,2,166,19,147,0,0,,,,
,Northeast State Community College,,"5,865",0,0,0,,0,0,4,0,4,0,0,,,,
,Roane State Community College,,"5,832",0,0,0,,0,0,8,0,8,0,0,,,,
,Southwest Tennessee Community College,,"10,227",3,0,1,,1,1,28,1,27,0,0,,,,
,Tennessee State University,,"9,027",13,1,3,,5,4,54,16,36,2,1,,,,
,Tennessee Technological University,,"11,339",3,0,1,,0,2,60,7,51,2,0,,,,
,University of Memphis,,"21,059",3,0,1,,2,0,139,17,118,4,0,,,,
,University of Tennessee: ,Chattanooga,"11,670",9,0,7,,2,0,79,15,60,4,0,,,,
,,Health Science Center6,,0,0,0,,0,0,30,2,28,0,0,,,,
,,Knoxville,"30,386",5,0,2,,1,2,268,30,227,11,2,,,,
,,Martin,"7,042",2,0,1,,0,1,32,5,27,0,0,,,,
,University of the South,,"1,714",10,0,10,,0,0,76,21,54,1,2,,,,
,Vanderbilt University,,"12,686",38,0,15,,4,19,394,7,385,2,0,,,,
,Volunteer State Community College,,"7,664",0,0,0,,0,0,18,0,18,0,0,,,,
,Walters State Community College,,"6,005",0,0,0,,0,0,8,0,7,1,0,,,,
TEXAS,Abilene Christian University,,"4,427",0,0,0,,0,0,67,5,62,0,0,,,,
,Alamo Community College District,,"55,967",3,0,0,,1,2,204,32,166,6,3,,,,
,Alvin Community College,,"4,837",0,0,0,,0,0,14,0,13,1,0,,,,
,Amarillo College,,"10,336",0,0,0,,0,0,20,0,20,0,0,,,,
,Angelo State University,,"6,494",2,0,1,,0,1,47,3,44,0,0,,,,
,Austin College,,"1,301",1,0,0,,0,1,33,3,28,2,0,,,,
,Baylor Health Care System6,,,3,0,2,,1,0,471,7,454,10,0,,,,
,Baylor University,Waco,"16,263",11,0,3,,0,8,172,15,149,8,1,,,,
,Brookhaven College,,"12,403",0,0,0,,0,0,24,1,22,1,0,,,,
,Central Texas College,,"20,547",2,0,0,,0,2,16,0,16,0,0,,,,
,College of the Mainland,,"3,858",0,0,0,,0,0,8,0,8,0,0,,,,
,El Paso Community College,,"28,308",0,0,0,,0,0,46,0,45,1,0,,,,
,Grayson College,,"4,636",0,0,0,,0,0,7,0,7,0,0,,,,
,Hardin-Simmons University,,"2,084",1,0,0,,0,1,34,8,25,1,0,,,,
,Houston Baptist University,,"3,128",3,0,1,,1,1,45,13,32,0,0,,,,
,Houston Community College,,"58,276",9,0,2,,5,2,164,20,133,11,0,,,,
,Lamar University,Beaumont,"14,895",8,0,1,,2,5,74,5,65,4,0,,,,
,Laredo Community College,,"8,307",3,0,0,,0,3,11,1,10,0,0,,,,
,McLennan Community College,,"8,294",0,0,0,,0,0,12,0,12,0,0,,,,
,Midwestern State University,,"5,874",3,0,1,,1,1,60,18,42,0,0,,,,
,Mountain View College,,"8,950",1,0,0,,0,1,15,0,13,2,0,,,,
,North Lake College,,"10,744",1,0,0,,0,1,19,2,17,0,0,,,,
,Paris Junior College,,"5,086",1,0,1,,0,0,15,3,12,0,0,,,,
,Rice University,,"6,621",4,0,0,,3,1,206,8,194,4,0,,,,
,Richland College,,"19,343",1,0,0,,1,0,28,0,25,3,0,,,,
,Southern Methodist University,,"11,272",4,0,3,,0,1,154,2,152,0,0,,,,
,Southwestern University,,"1,538",0,0,0,,0,0,34,11,16,7,0,,,,
,Stephen F. Austin State University,,"12,801",2,0,2,,0,0,56,3,52,1,0,,,,
,St. Mary's University,,"3,712",1,0,1,,0,0,18,2,14,2,0,,,,
,Sul Ross State University,,"2,873",0,0,0,,0,0,57,10,47,0,0,,,,
,Tarleton State University,,"11,681",2,0,2,,0,0,83,10,72,1,0,,,,
,Texas A&M International University,,"7,554",5,0,5,,0,0,36,6,28,2,0,,,,
,Texas A&M University: ,Central Texas6,,0,0,0,,0,0,7,3,4,0,0,,,,
,,College Station,"61,642",4,0,3,,0,1,488,28,448,12,0,,,,
,,Commerce,"12,111",6,0,5,,1,0,85,12,72,1,1,,,,
,,Corpus Christi,"11,256",3,0,1,,0,2,63,5,54,4,0,,,,
,,Galveston6,,1,0,0,,0,1,11,0,11,0,0,,,,
,,Kingsville,"13,246",0,0,0,,0,0,98,31,67,0,0,,,,
,,San Antonio6,,0,0,0,,0,0,8,1,6,1,0,,,,
,Texas Christian University,,"10,033",8,0,5,,1,2,131,9,120,2,0,,,,
,Texas Southern University,,"9,233",12,2,1,,4,5,220,49,168,3,6,,,,
,Texas State Technical College: ,Harlingen,"5,225",2,0,1,,0,1,15,0,15,0,0,,,,
,,Waco,"4,114",5,0,3,,0,2,74,32,42,0,0,,,,
,,West Texas,"1,453",0,0,0,,0,0,2,1,1,0,0,,,,
,Texas State University,San Marcos,"36,739",9,0,0,,6,3,217,20,193,4,0,,,,
,Texas Tech University,Lubbock,"35,158",7,0,5,,1,1,403,12,390,1,0,,,,
,Texas Woman's University,,"15,071",3,0,1,,0,2,49,3,46,0,0,,,,
,Tyler Junior College,,"11,168",2,0,1,,0,1,50,4,46,0,0,,,,
,University of Houston: ,Central Campus,"40,914",21,0,4,,11,6,498,42,433,23,0,,,,
,,Clearlake,"8,665",0,0,0,,0,0,19,1,18,0,0,,,,
,,Downtown Campus,"14,439",2,0,0,,1,1,46,2,42,2,0,,,,
,University of Mary Hardin-Baylor,,"3,740",1,0,0,,0,1,65,2,60,3,0,,,,
,University of North Texas:,Denton,"36,486",5,0,2,,0,3,171,16,153,2,3,,,,
,,Health Science Center,"2,243",0,0,0,,0,0,10,0,10,0,0,,,,
,University of Texas:,Arlington,"39,740",5,0,1,,2,2,148,8,140,0,0,,,,
,,Austin,"51,313",6,0,2,,2,2,397,36,354,7,0,,,,
,,Dallas,"23,095",3,0,2,,0,1,151,4,145,2,0,,,,
,,El Paso,"23,079",11,0,1,,0,10,146,27,117,2,0,,,,
,,"Health Science Center, San Antonio","3,147",4,0,1,,1,2,60,2,56,2,0,,,,
,,"Health Science Center, Tyler6",,0,0,0,,0,0,11,1,9,1,0,,,,
,,Houston,"4,859",21,0,3,,5,13,311,21,288,2,1,,,,
,,Medical Branch,"3,211",0,0,0,,0,0,114,0,109,5,0,,,,
,,Permian Basin,"5,560",0,0,0,,0,0,22,7,12,3,0,,,,
,,San Antonio,"28,628",4,0,3,,1,0,128,6,115,7,0,,,,
,,Southwestern Medical School,"2,341",4,0,0,,1,3,130,17,109,4,0,,,,
,,Tyler,"8,036",0,0,0,,0,0,42,9,32,1,0,,,,
,West Texas A&M University,,"8,972",3,0,3,,0,0,71,21,49,1,0,,,,
UTAH,Brigham Young University,,"30,484",1,0,1,,0,0,148,9,135,4,0,,,,
,Snow College,,"4,779",1,0,,0,0,1,18,1,15,2,0,,,,
,Southern Utah University,,"7,656",1,0,1,,0,0,27,7,19,1,1,,,,
,University of Utah,,"31,515",12,0,,4,0,8,506,42,435,29,1,,,,
,Utah State University,Eastern6,,0,0,,0,0,0,47,2,45,0,0,,,,
,Utah Valley University,,"31,332",1,0,,0,1,0,76,5,69,2,0,,,,
,Weber State University,,"25,954",1,0,,0,0,1,55,4,50,1,0,,,,
VERMONT,University of Vermont,,"12,856",3,0,2,,0,1,176,15,161,0,2,,,,
VIRGINIA,Bridgewater College,,"1,785",0,0,0,,0,0,15,4,10,1,0,,,,
,Christopher Newport University,,"5,221",3,0,1,,0,2,152,4,146,2,0,,,,
,College of William and Mary,,"8,437",3,0,3,,0,0,167,10,156,1,0,,,,
,Eastern Virginia Medical School,,"1,049",0,0,0,,0,0,28,1,27,0,0,,,,
,Emory and Henry College,,"1,038",0,0,0,,0,0,0,0,0,0,0,,,,
,Ferrum College,,"1,451",2,0,0,,0,2,17,1,16,0,0,,,,
,George Mason University,,"33,729",8,0,4,,2,2,148,7,139,2,3,,,,
,Hampton University,,"4,393",2,0,1,,1,0,50,14,36,0,0,,,,
,James Madison University,,"20,855",2,0,0,,1,1,110,10,98,2,1,,,,
,J. Sargeant Reynolds Community College,,"11,861",1,0,0,,0,1,27,0,27,0,0,,,,
,Longwood University,,"5,096",6,0,5,,0,1,47,8,38,1,0,,,,
,Lord Fairfax Community College,,"6,996",0,0,0,,0,0,0,0,0,0,0,,,,
,Norfolk State University,,"6,027",0,0,0,,0,0,17,1,13,3,5,,,,
,Northern Virginia Community College,,"51,487",1,0,0,,0,1,56,1,55,0,0,,,,
,Old Dominion University,,"24,932",19,0,4,,5,10,258,9,246,3,0,,,,
,Radford University,,"9,798",9,0,7,,2,0,83,3,80,0,6,,,,
,Richard Bland College,,"1,525",2,0,2,,0,0,20,3,17,0,0,,,,
,University of Richmond,,"4,182",7,0,7,,0,0,109,20,84,5,3,,,,
,University of Virginia,,"23,732",10,0,1,,3,6,189,30,157,2,0,,,,
,University of Virginia's College at Wise,,"2,183",0,0,0,,0,0,19,6,13,0,0,,,,
,Virginia Commonwealth University,,"30,848",14,0,3,,3,8,447,14,426,7,1,,,,
,Virginia Military Institute,,"1,700",0,0,0,,0,0,31,12,19,0,0,,,,
,Virginia Polytechnic Institute and State University,,"31,224",7,0,4,,1,2,168,34,131,3,1,,,,
,Virginia State University,,"5,025",11,0,2,,4,5,78,21,55,2,0,,,,
,Virginia Western Community College,,"8,632",0,0,0,,0,0,2,0,2,0,0,,,,
WASHINGTON,Central Washington University,,"11,799",8,0,7,,1,0,96,6,85,5,0,,,,
,Eastern Washington University,,"13,453",6,0,5,,1,0,63,17,43,3,1,,,,
,Evergreen State College,,"4,219",4,0,4,,0,0,104,19,80,5,0,,,,
,University of Washington,,"44,784",7,0,3,,2,2,670,38,620,12,1,,,,
,Washington State University: ,Pullman,"28,686",8,0,6,,1,1,175,28,144,3,1,,,,
,,Vancouver6,,0,0,0,,0,0,12,1,11,0,0,,,,
,Western Washington University,,"15,060",3,0,1,,1,1,127,11,114,2,0,,,,
WEST VIRGINIA,Potomac State College,,"1,540",3,0,0,,0,3,4,3,1,0,0,,,,
